'CAUSE 1.0	K AH Z
ADHERENT 1.0	AH D HH IH R AH N T
ADHERENTS 1.0	AE D HH IH R AH N T S
ADHERES 1.0	AH D HH IH R Z
ADHERING 1.0	AH D HH IH R IH NG
ADHESION 1.0	AE D HH IY ZH AH N
ADHESIVE 1.0	AE D HH IY S IH V
ADHESIVE 1.0	AH D HH IY S IH V
ADHESIVES 1.0	AE D HH IY S IH V Z
ADHESIVES 1.0	AH D HH IY S IH V Z
ADIDAS 1.0	AH D IY D AH S
ADIEU 1.0	AH D UW
ADINE 1.0	AA D IY N IY
ADIOS 1.0	AA D IY OW S
ADIRONDACK 1.0	AE D ER AA N D AE K
ADJACENT 1.0	AH JH EY S AH N T
ADJECTIVE 1.0	AE JH IH K T IH V
ADJECTIVES 1.0	AE JH IH K T IH V Z
ADJOINING 1.0	AH JH OY N IH NG
ADJOURN 1.0	AH JH ER N
ADJOURNED 1.0	AH JH ER N D
ADJOURNING 1.0	AH JH ER N IH NG
ADJOURNMENT 1.0	AH JH ER N M AH N T
ADJOURNS 1.0	AH JH ER N Z
ADJUDGED 1.0	AH JH AH JH D
ADJUDICATE 1.0	AH JH UW D IH K EY T
ADJUDICATED 1.0	AH JH UW D AH K EY T IH D
ADJUDICATION 1.0	AH JH UW D AH K EY SH AH N
ADJUNCT 1.0	AE JH AH NG K T
ADJUNCTS 1.0	AE JH AH NG K T S
ADJUST 1.0	AH JH AH S T
ADJUSTABLE 1.0	AH JH AH S T AH B AH L
ADJUSTED 1.0	AH JH AH S T AH D
ADJUSTED 1.0	AH JH AH S T IH D
ADJUSTER 1.0	AH JH AH S T ER
ADJUSTERS 1.0	AH JH AH S T ER Z
ADJUSTING 1.0	AH JH AH S T IH NG
ADJUSTMENT 1.0	AH JH AH S T M AH N T
ADJUSTMENTS 1.0	AH JH AH S T M AH N T S
ADJUSTS 1.0	AH JH AH S
ADJUSTS 1.0	AH JH AH S T S
ADJUTANT 1.0	AE JH AH T AH N T
ADLER 1.0	AE D L ER
ADMINISTER 1.0	AH D M IH N AH S T ER
ADMINISTERED 1.0	AH D M IH N AH S T ER D
ADMINISTERING 1.0	AE D M IH N IH S T ER IH NG
ADMINISTERS 1.0	AE D M IH N IH S T ER Z
ADMINISTRATE 1.0	AE D M IH N IH S T R EY T
ADMINISTRATION 1.0	AE D M IH N IH S T R EY SH AH N
ADMINISTRATION'S 1.0	AE D M IH N IH S T R EY SH AH N Z
ADMINISTRATIONS 1.0	AE D M IH N IH S T R EY SH AH N Z
ADMINISTRATIVE 1.0	AH D M IH N AH S T R EY T IH V
ADMINISTRATIVELY 1.0	AE D M IH N AH S T R EY T IH V L IY
ADMINISTRATOR 1.0	AH D M IH N AH S T R EY T ER
ADMINISTRATOR'S 1.0	AE D M IH N IH S T R EY T ER Z
ADMINISTRATORS 1.0	AE D M IH N IH S T R EY T ER Z
ADMIRABLE 1.0	AE D M ER AH B AH L
ADMIRABLE 1.0	AE D M R AH B AH L
ADMIRABLY 1.0	AE D M ER AH B L IY
ADMIRAL 1.0	AE D M ER AH L
ADMIRAL'S 1.0	AE D M ER AH L Z
ADMIRALS 1.0	AE D M ER AH L Z
ADMIRALTY 1.0	AE D M ER AH L T IY
ADMIRATION 1.0	AE D M ER EY SH AH N
ADMIRE 1.0	AE D M AY R
ADMIRED 1.0	AH D M AY ER D
ADMIRER 1.0	AE D M AY R ER
ADMIRERS 1.0	AH D M AY R ER Z
ADMIRES 1.0	AE D M AY R Z
ADMIRING 1.0	AE D M AY R IH NG
ADMIRINGLY 1.0	AE D M AY R IH NG L IY
ADMISSIBILITY 1.0	AH D M IH S AH B IH L AH T IY
ADMISSIBLE 1.0	AH D M IH S AH B AH L
ADMISSION 1.0	AE D M IH SH AH N
ADMISSION 1.0	AH D M IH SH AH N
ADMISSIONS 1.0	AE D M IH SH AH N Z
ADMISSIONS 1.0	AH D M IH SH AH N Z
ADMIT 1.0	AH D M IH T
ADMITS 1.0	AH D M IH T S
ADMITTANCE 1.0	AH D M IH T AH N S
ADMITTED 1.0	AH D M IH T AH D
ADMITTEDLY 1.0	AE D M IH T IH D L IY
ADMITTING 1.0	AE D M IH T IH NG
ADMITTING 1.0	AH D M IH T IH NG
ADMONISH 1.0	AE D M AA N IH SH
ADMONISHED 1.0	AH D M AA N IH SH T
ADMONISHING 1.0	AE D M AA N IH SH IH NG
ADMONISHMENT 1.0	AE D M AA N IH SH M EH N T
ADMONITION 1.0	AE D M AH N IH SH AH N
ADMONITIONS 1.0	AE D M AH N IH SH AH N Z
ADNAN 1.0	AE D N AH N
ADO 1.0	AH D UW
ADOBE 1.0	AH D OW B IY
ADOBE'S 1.0	AH D OW B IY Z
ADOLESCENCE 1.0	AE D AH L EH S AH N S
ADOLESCENCE 1.0	AE D OW L EH S AH N S
ADOLESCENT 1.0	AE D AH L EH S AH N T
ADOLESCENT 1.0	AE D OW L EH S AH N T
ADOLESCENTS 1.0	AE D AH L EH S AH N T S
ADOLESCENTS 1.0	AE D OW L EH S AH N T S
ADOLF 1.0	EY D AA L F
ADOLFO 1.0	AH D AA L F OW
ADOLPH 1.0	EY D AO L F
ADONIS 1.0	AH D AA N AH S
ADOPT 1.0	AH D AA P T
ADOPTABLE 1.0	AH D AA P T AH B AH L
ADOPTED 1.0	AH D AA P T AH D
ADOPTEE 1.0	AH D AA P T IY
ADOPTEES 1.0	AH D AA P T IY Z
ADOPTER 1.0	AH D AA P T ER
ADOPTERS 1.0	AH D AA P T ER Z
ADOPTING 1.0	AH D AA P T IH NG
ADOPTION 1.0	AH D AA P SH AH N
ADOPTIONS 1.0	AH D AA P SH AH N Z
ADOPTIVE 1.0	AH D AA P T IH V
ADOPTS 1.0	AH D AA P T S
ADORABLE 1.0	AH D AO R AH B AH L
ADORATION 1.0	AE D ER EY SH AH N
ADORE 1.0	AH D AO R
ADORED 1.0	AH D AO R D
ADORES 1.0	AH D AO R Z
ADORING 1.0	AH D AO R IH NG
ADORN 1.0	AH D AO R N
ADORNED 1.0	AH D AO R N D
ADORNING 1.0	AH D AO R N IH NG
ADORNMENT 1.0	AH D AO R N M AH N T
ADORNS 1.0	AH D AO R N Z
ADRENAL 1.0	AH D R IY N AH L
ADRENALIN 1.0	AH D R EH N AH L IH N
ADRENALINE 1.0	AH D R EH N AH L AH N
ADRIAN 1.0	EY D R IY AH N
ADRIANA 1.0	EY D R IY AE N AH
ADRIANO 1.0	AA D R IY AA N OW
ADRIATIC 1.0	EY D R IY AE T IH K
ADRIENNE 1.0	AA D R IY EH N
ADRIFT 1.0	AH D R IH F T
ADROIT 1.0	AH D R OY T
ADS 1.0	AE D Z
ADULATION 1.0	AE JH AH L EY SH AH N
ADULT 1.0	AE D AH L T
ADULT 1.0	AH D AH L T
ADULTERER 1.0	AH D AH L T ER ER
ADULTERERS 1.0	AH D AH L T ER ER Z
ADULTEROUS 1.0	AH D AH L T ER AH S
ADULTERY 1.0	AH D AH L T ER IY
ADULTHOOD 1.0	AH D AH L T HH UH D
ADULTS 1.0	AE D AH L T S
ADULTS 1.0	AH D AH L T S
ADVANCE 1.0	AH D V AE N S
ADVANCED 1.0	AH D V AE N S T
ADVANCEMENT 1.0	AH D V AE N S M AH N T
ADVANCEMENTS 1.0	AH D V AE N S M AH N T S
ADVANCES 1.0	AH D V AE N S AH Z
ADVANCES 1.0	AH D V AE N S IH Z
ADVANCING 1.0	AH D V AE N S IH NG
ADVANTAGE 1.0	AE D V AE N T IH JH
ADVANTAGE 1.0	AH D V AE N T IH JH
ADVANTAGED 1.0	AE D V AE N T IH JH D
ADVANTAGED 1.0	AH D V AE N T IH JH D
ADVANTAGEOUS 1.0	AE D V AH N T EY JH AH S
ADVANTAGES 1.0	AE D V AE N T IH JH IH Z
ADVANTAGES 1.0	AH D V AE N T IH JH IH Z
ADVENT 1.0	AE D V EH N T
ADVENTIST 1.0	AE D V EH N T IH S T
ADVENTISTS 1.0	AE D V EH N T IH S
ADVENTISTS 1.0	AE D V EH N T IH S T S
ADVENTURE 1.0	AE D V EH N CH ER
ADVENTURE 1.0	AH D V EH N CH ER
ADVENTURER 1.0	AE D V EH N CH ER ER
ADVENTURER 1.0	AH D V EH N CH ER ER
ADVENTURERS 1.0	AE D V EH N CH ER ER Z
ADVENTURERS 1.0	AH D V EH N CH ER ER Z
ADVENTURES 1.0	AE D V EH N CH ER Z
ADVENTURES 1.0	AH D V EH N CH ER Z
ADVENTURESOME 1.0	AE D V EH N CH ER S AH M
ADVENTURESOME 1.0	AH D V EH N CH ER S AH M
ADVENTUROUS 1.0	AE D V EH N CH ER AH S
ADVENTUROUS 1.0	AH D V EH N CH ER AH S
ADVERB 1.0	AE D V ER B
ADVERBIAL 1.0	AE D V ER B IY AH L
ADVERBS 1.0	AE D V ER B Z
ADVERSARIAL 1.0	AE D V ER S EH R IY AH L
ADVERSARIES 1.0	AE D V ER S EH R IY Z
ADVERSARY 1.0	AE D V ER S EH R IY
ADVERSE 1.0	AE D V ER S
ADVERSE 1.0	AH D V ER S
ADVERSELY 1.0	AE D V ER S L IY
ADVERSITY 1.0	AE D V ER S IH T IY
ADVERSITY 1.0	AH D V ER S IH T IY
ADVERTISE 1.0	AE D V ER T AY Z
ADVERTISED 1.0	AE D V ER T AY Z D
ADVERTISEMENT 1.0	AE D V ER T AY Z M AH N T
ADVERTISEMENT 1.0	AH D V ER T AH Z M AH N T
ADVERTISEMENTS 1.0	AE D V ER T AY Z M AH N T S
ADVERTISER 1.0	AE D V ER T AY Z ER
ADVERTISERS 1.0	AE D V ER T AY Z ER Z
ADVERTISES 1.0	AE D V ER T AY Z IH Z
ADVERTISING 1.0	AE D V ER T AY Z IH NG
ADVICE 1.0	AE D V AY S
ADVICE 1.0	AH D V AY S
ADVIL 1.0	AE D V IH L
ADVISABLE 1.0	AH D V AY Z AH B AH L
ADVISE 1.0	AE D V AY Z
ADVISE 1.0	AH D V AY Z
ADVISED 1.0	AE D V AY Z D
ADVISED 1.0	AH D V AY Z D
ADVISEMENT 1.0	AH D V AY Z M AH N T
ADVISER 1.0	AE D V AY Z ER
ADVISERS 1.0	AE D V AY Z ER Z
ADVISES 1.0	AE D V AY Z IH Z
ADVISING 1.0	AE D V AY Z IH NG
ADVISOR 1.0	AE D V AY Z ER
ADVISOR 1.0	AH D V AY Z ER
ADVISORIES 1.0	AH D V AY Z ER IY Z
ADVISORS 1.0	AE D V AY Z ER Z
ADVISORS 1.0	AH D V AY Z ER Z
ADVISORY 1.0	AE D V AY Z ER IY
ADVISORY 1.0	AH D V AY Z ER IY
ADVOCACY 1.0	AE D V AH K AH S IY
ADVOCATE 1.0	AE D V AH K AH T
ADVOCATE 1.0	AE D V AH K EY T
ADVOCATED 1.0	AE D V AH K EY T AH D
ADVOCATED 1.0	AE D V AH K EY T IH D
ADVOCATES 1.0	AE D V AH K AH T S
ADVOCATES 1.0	AE D V AH K EY T S
ADVOCATING 1.0	AE D V AH K EY T IH NG
AEGEAN 1.0	IH JH IY AH N
AEGIS 1.0	IY JH AH S
AENEAS 1.0	AE N IY AH S
AERIAL 1.0	EH R IY AH L
AERIALS 1.0	EH R IY AH L Z
AERIE 1.0	EH R IY
AEROBATIC 1.0	EH R AH B AE T IH K
AEROBATICS 1.0	EH R AH B AE T IH K S
AEROBIC 1.0	EH R OW B IH K
AEROBICS 1.0	ER OW B IH K S
AERODYNAMIC 1.0	EH R OW D AY N AE M IH K
AERODYNAMICS 1.0	EH R OW D AY N AE M IH K S
AERONAUTICAL 1.0	EH R AH N AA T AH K AH L
AERONAUTICAL 1.0	EH R OW N AA T AH K AH L
AERONAUTICS 1.0	EH R AH N AO T IH K S
AEROSMITH 1.0	EH R OW S M IH TH
AEROSOL 1.0	EH R AH S AA L
AEROSOLS 1.0	EH R AH S AA L Z
AEROSPACE 1.0	EH R OW S P EY S
AESTHETIC 1.0	EH S TH EH T IH K
AESTHETICALLY 1.0	EH S TH EH T IH K L IY
AESTHETICS 1.0	EH S TH EH T IH K S
AFAR 1.0	AH F AA R
AFFABLE 1.0	AE F AH B AH L
AFFAIR 1.0	AH F EH R
AFFAIRS 1.0	AH F EH R Z
AFFECT 1.0	AH F EH K T
AFFECTATION 1.0	AE F EH K T EY SH AH N
AFFECTED 1.0	AH F EH K T AH D
AFFECTED 1.0	AH F EH K T IH D
AFFECTING 1.0	AH F EH K T IH NG
AFFECTION 1.0	AH F EH K SH AH N
AFFECTIONATE 1.0	AH F EH K SH AH N AH T
AFFECTIONATE 1.0	AH F EH K SH AH N IH T
AFFECTIONATELY 1.0	AH F EH K SH AH N AH T L IY
AFFECTIONS 1.0	AH F EH K SH AH N Z
AFFECTIVE 1.0	AH F EH K T IH V
AFFECTS 1.0	AH F EH K T S
AFFIDAVIT 1.0	AE F AH D EY V AH T
AFFIDAVITS 1.0	AE F IH D EY V IH T S
AFFILIATE 1.0	AH F IH L IY AH T
AFFILIATE 1.0	AH F IH L IY EY T
AFFILIATED 1.0	AH F IH L IY EY T AH D
AFFILIATED 1.0	AH F IH L IY EY T IH D
AFFILIATES 1.0	AH F IH L IY AH T S
AFFILIATES 1.0	AH F IH L IY EY T S
AFFILIATION 1.0	AH F IH L IY EY SH AH N
AFFILIATIONS 1.0	AH F IH L IY EY SH AH N Z
AFFINE 1.0	AH F AY N
AFFINITIES 1.0	AH F IH N AH T IY Z
AFFINITY 1.0	AH F IH N AH T IY
AFFINITY 1.0	AH F IH N IH T IY
AFFIRM 1.0	AH F ER M
AFFIRMATION 1.0	AE F ER M EY SH AH N
AFFIRMATIONS 1.0	AE F ER M EY SH AH N Z
AFFIRMATIVE 1.0	AH F ER M AH T IH V
AFFIRMATIVELY 1.0	AH F ER M AH T IH V L IY
AFFIRMED 1.0	AH F ER M D
AFFIRMING 1.0	AH F ER M IH NG
AFFIRMS 1.0	AH F ER M Z
AFFIX 1.0	AE F IH K S
AFFIX 1.0	AH F IH K S
AFFIXED 1.0	AH F IH K S T
AFFIXES 1.0	AE F IH K S IH Z
AFFIXES 1.0	AH F IH K S IH Z
AFFLECK 1.0	AE F L IH K
AFFLICT 1.0	AH F L IH K T
AFFLICTED 1.0	AH F L IH K T AH D
AFFLICTED 1.0	AH F L IH K T IH D
AFFLICTING 1.0	AH F L IH K T IH NG
AFFLICTION 1.0	AH F L IH K SH AH N
AFFLICTIONS 1.0	AH F L IH K SH AH N Z
AFFLICTS 1.0	AH F L IH K T S
AFFLUENCE 1.0	AE F L UW AH N S
AFFLUENT 1.0	AE F L UW AH N T
AFFORD 1.0	AH F AO R D
AFFORDABILITY 1.0	AH F AO R D AH B IH L AH T IY
AFFORDABLE 1.0	AH F AO R D AH B AH L
AFFORDED 1.0	AH F AO R D AH D
AFFORDING 1.0	AH F AO R D IH NG
AFFORDS 1.0	AH F AO R D Z
AFFRONT 1.0	AH F R AH N T
AFGHAN 1.0	AE F G AE N
AFGHANI 1.0	AE F G AA N IY
AFGHANIS 1.0	AE F G AE N IY Z
AFGHANISTAN 1.0	AE F G AE N AH S T AE N
AFGHANISTAN'S 1.0	AE F G AE N AH S T AE N Z
AFGHANS 1.0	AE F G AE N Z
AFICIONADO 1.0	AH F IY SH Y AH N AA D OW
AFICIONADOS 1.0	AH F IH SH AH N AA D OW Z
AFIELD 1.0	AH F IY L D
AFIRE 1.0	AH F AY R
AFLAME 1.0	AH F L EY M
AFLOAT 1.0	AH F L OW T
AFOOT 1.0	AH F UH T
AFOREMENTIONED 1.0	AH F AO R M EH N SH AH N D
AFORESAID 1.0	AH F AO R S EH D
AFOUL 1.0	AH F AW L
AFRAID 1.0	AH F R EY D
AFRESH 1.0	AH F R EH SH
AFRICA 1.0	AE F ER K AH
AFRICA 1.0	AE F R AH K AH
AFRICA 1.0	AE F R IH K AH
AFRICA'S 1.0	AE F R AH K AH Z
AFRICA'S 1.0	AE F R IH K AH Z
AFRICAN 1.0	AE F R AH K AH N
AFRICAN 1.0	AE F R IH K AH N
AFRICANS 1.0	AE F R AH K AH N Z
AFRICANS 1.0	AE F R IH K AH N Z
AFRIKAANS 1.0	AE F R AH K AA N Z
AFRIKANER 1.0	AE F R AH K AA N ER
AFRIKANERS 1.0	AE F R IH K AA N ER Z
AFRO 1.0	AE F R OW
AFT 1.0	AE F T
AFTER 1.0	AE F T ER
AFTEREFFECTS 1.0	AE F T ER AH F EH K T S
AFTERGLOW 1.0	AE F T ER G L OW
AFTERLIFE 1.0	AE F T ER L AY F
AFTERMATH 1.0	AE F T ER M AE TH
AFTERNOON 1.0	AE F T ER N UW N
AFTERNOON'S 1.0	AE F T ER N UW N Z
AFTERNOONS 1.0	AE F T ER N UW N Z
AFTERSHAVE 1.0	AE F T ER SH EY V
AFTERSHOCK 1.0	AE F T ER SH AA K
AFTERSHOCKS 1.0	AE F T ER SH AA K S
AFTERTASTE 1.0	AE F T ER T EY S T
AFTERTHOUGHT 1.0	AE F T ER TH AA T
AFTERTHOUGHT 1.0	AE F T ER TH AO T
AFTERWARD 1.0	AE F T ER W ER D
AFTERWARDS 1.0	AE F T ER W ER D Z
AGAIN 1.0	AH G EH N
AGAIN 1.0	AH G EY N
AGAINST 1.0	AH G EH N S T
AGAINST 1.0	AH G EY N S T
AGAMEMNON 1.0	AE G AH M EH M N AA N
AGAPE 1.0	AH G EY P
AGASSI 1.0	AE G AH S IY
AGATHA 1.0	AE G AH TH AH
AGE 1.0	EY JH
AGED 1.0	EY JH D
AGED 1.0	EY JH IH D
AGELESS 1.0	EY JH L AH S
AGENCIES 1.0	EY JH AH N S IY Z
AGENCY 1.0	EY JH AH N S IY
AGENCY'S 1.0	EY JH AH N S IY Z
AGENDA 1.0	AH JH EH N D AH
AGENDAS 1.0	AH JH EH N D AH Z
AGENT 1.0	EY JH AH N T
AGENT'S 1.0	EY JH AH N T S
AGENTS 1.0	EY JH AH N T S
AGERS 1.0	EY JH ER Z
AGES 1.0	EY JH AH Z
AGES 1.0	EY JH IH Z
AGGIE 1.0	AE G IY
AGGIES 1.0	AE G IY Z
AGGRAVATE 1.0	AE G R AH V EY T
AGGRAVATED 1.0	AE G R AH V EY T AH D
AGGRAVATED 1.0	AE G R AH V EY T IH D
AGGRAVATES 1.0	AE G R AH V EY T S
AGGRAVATING 1.0	AE G R AH V EY T IH NG
AGGRAVATION 1.0	AE G R AH V EY SH AH N
AGGREGATE 1.0	AE G R AH G AH T
AGGREGATE 1.0	AE G R AH G EY T
AGGREGATE 1.0	AE G R AH G IH T
AGGREGATED 1.0	AE G R AH G EY T AH D
AGGREGATES 1.0	AE G R AH G EY T S
AGGREGATES 1.0	AE G R AH G IH T S
AGGRESS 1.0	AH G R EH S
AGGRESSION 1.0	AH G R EH SH AH N
AGGRESSIONS 1.0	AH G R EH SH AH N Z
AGGRESSIVE 1.0	AH G R EH S IH V
AGGRESSIVELY 1.0	AH G R EH S IH V L IY
AGGRESSIVENESS 1.0	AH G R EH S IH V N AH S
AGGRESSOR 1.0	AH G R EH S ER
AGGRESSORS 1.0	AH G R EH S ER Z
AGGRIEVED 1.0	AH G R IY V D
AGHAST 1.0	AH G AE S T
AGILE 1.0	AE JH AH L
AGILITY 1.0	AH JH IH L AH T IY
AGING 1.0	EY JH IH NG
AGITATE 1.0	AE JH AH T EY T
AGITATED 1.0	AE JH AH T EY T AH D
AGITATING 1.0	AE JH AH T EY T IH NG
AGITATION 1.0	AE JH AH T EY SH AH N
AGITATOR 1.0	AE JH AH T EY T ER
AGITATORS 1.0	AE JH IH T EY T ER Z
AGLOW 1.0	AH G L OW
AGNES 1.0	AE G N IH S
AGNEW 1.0	AE G N UW
AGNEW 1.0	AE G N Y UW
AGNOSTIC 1.0	AE G N AA S T IH K
AGNOSTICS 1.0	AE G N AA S T IH K S
AGO 1.0	AH G OW
AGONIES 1.0	AE G AH N IY Z
AGONIZE 1.0	AE G AH N AY Z
AGONIZING 1.0	AE G AH N AY Z IH NG
AGONY 1.0	AE G AH N IY
AGORAPHOBIA 1.0	AH G AO R AH F OW B IY AH
AGRARIAN 1.0	AH G R EH R IY AH N
AGREE 1.0	AH G R IY
AGREEABLE 1.0	AH G R IY AH B AH L
AGREED 1.0	AH G R IY D
AGREEING 1.0	AH G R IY IH NG
AGREEMENT 1.0	AH G R IY M AH N T
AGREEMENT'S 1.0	AH G R IY M AH N T S
AGREEMENTS 1.0	AH G R IY M AH N T S
AGREES 1.0	AH G R IY Z
AGRIBUSINESS 1.0	AE G R AH B IH Z N AH S
AGRICULTURAL 1.0	AE G R AH K AH L CH ER AH L
AGRICULTURAL 1.0	AE G R IH K AH L CH ER AH L
AGRICULTURALLY 1.0	AE G R IH K AH L CH ER AH L IY
AGRICULTURALLY 1.0	AE G R IH K AH L CH R AH L IY
AGRICULTURE 1.0	AE G R IH K AH L CH ER
AGRICULTURE'S 1.0	AE G R IH K AH L CH ER Z
AGROUND 1.0	AH G R AW N D
AGUILERA 1.0	AA G W IY L EH R AH
AH 1.0	AA
AHAB 1.0	EY HH AE B
AHAH 1.0	AA HH AA
AHEAD 1.0	AH HH EH D
AHMED 1.0	AA M AH D
AHMED 1.0	AA M EH D
AHOY 1.0	AH HH OY
AID 1.0	EY D
AIDA 1.0	AY IY D AH
AIDAN 1.0	EY D AA N
AIDE 1.0	EY D
AIDED 1.0	EY D AH D
AIDED 1.0	EY D IH D
AIDES 1.0	EY D Z
AIDING 1.0	EY D IH NG
AIDS 1.0	EY D Z
AIKEN 1.0	EY K IH N
AIL 1.0	EY L
AILEEN 1.0	AY L IY N
AILERON 1.0	EY L ER AA N
AILERONS 1.0	EY L ER AA N Z
AILING 1.0	EY L IH NG
AILMENT 1.0	EY L M AH N T
AILMENTS 1.0	EY L M AH N T S
AILS 1.0	EY L Z
AIM 1.0	EY M
AIMED 1.0	EY M D
AIMING 1.0	EY M IH NG
AIMLESS 1.0	EY M L AH S
AIMLESSLY 1.0	EY M L AH S L IY
AIMS 1.0	EY M Z
AIN'T 1.0	EY N T
AIR 1.0	EH R
AIR'S 1.0	EH R Z
AIRBAG 1.0	EH R B AE G
AIRBAGS 1.0	EH R B AE G Z
AIRBASE 1.0	EH R B EY S
AIRBORNE 1.0	EH R B AO R N
AIRBUS 1.0	EH R B AH S
AIRCRAFT 1.0	EH R K R AE F T
AIRCRAFT'S 1.0	EH R K R AE F S
AIRCRAFT'S 1.0	EH R K R AE F T S
AIRCRAFTS 1.0	EH R K R AE F S
AIRCRAFTS 1.0	EH R K R AE F T S
AIRED 1.0	EH R D
AIREDALE 1.0	EH R D EY L
AIRES 1.0	EH R IY Z
AIRFARE 1.0	EH R F EH R
AIRFARES 1.0	EH R F EH R Z
AIRFIELD 1.0	EH R F IY L D
AIRFIELDS 1.0	EH R F IY L D Z
AIRFLOW 1.0	EH R F L OW
AIRFORCE 1.0	EH R F AO R S
AIRFRAME 1.0	EH R F R EY M
AIRFREIGHT 1.0	EH R F R EY T
AIRHEAD 1.0	EH R HH EH D
AIRING 1.0	EH R IH NG
AIRLESS 1.0	EH R L AH S
AIRLIFT 1.0	EH R L IH F T
AIRLIFTED 1.0	EH R L IH F T IH D
AIRLINE 1.0	EH R L AY N
AIRLINE'S 1.0	EH R L AY N Z
AIRLINER 1.0	EH R L AY N ER
AIRLINERS 1.0	EH R L AY N ER Z
AIRLINES 1.0	EH R L AY N Z
AIRLOCK 1.0	EH R L AO K
AIRMAIL 1.0	EH R M EY L
AIRMAN 1.0	EH R M AH N
AIRMEN 1.0	EH R M EH N
AIRPLANE 1.0	EH R P L EY N
AIRPLANES 1.0	EH R P L EY N Z
AIRPORT 1.0	EH R P AO R T
AIRPORT'S 1.0	EH R P AO R T S
AIRPORTS 1.0	EH R P AO R T S
AIRS 1.0	EH R Z
AIRSHIP 1.0	EH R SH IH P
AIRSHIPS 1.0	EH R SH IH P S
AIRSPACE 1.0	EH R S P EY S
AIRSPEED 1.0	EH R S P IY D
AIRSTRIKES 1.0	EH R S T R AY K S
AIRSTRIP 1.0	EH R S T R IH P
AIRTIGHT 1.0	EH R T AY T
AIRTIME 1.0	EH R T AY M
AIRWAVES 1.0	EH R W EY V Z
AIRWAY 1.0	EH R W EY
AIRWAYS 1.0	EH R W EY Z
AIRY 1.0	EH R IY
AISLE 1.0	AY AH L
AISLE 1.0	AY L
AISLES 1.0	AY AH L Z
AISLES 1.0	AY L Z
AJAR 1.0	AH JH AA R
AJAX 1.0	EY JH AE K S
AKBAR 1.0	AA K B AA R
AKBAR 1.0	AE K B ER
AKIHITO 1.0	AA K IY HH IY T OW
AKIN 1.0	AH K IH N
AKIN 1.0	EY K IH N
AKITA 1.0	AH K IY T AH
AKRON 1.0	AE K R AH N
AL 1.0	AE L
AL'S 1.0	AE L Z
ALABAMA 1.0	AE L AH B AE M AH
ALABASTER 1.0	AE L AH B AE S T ER
ALACRITY 1.0	AH L AE K R AH T IY
ALADDIN 1.0	AH L AE D IH N
ALAIN 1.0	AH L EY N
ALAMEDA 1.0	AE L AH M IY D AH
ALAMO 1.0	AE L AH M OW
ALAMOS 1.0	AE L AH M OW Z
ALAN 1.0	AE L AH N
ALAN'S 1.0	AE L AH N Z
ALANA 1.0	AA L AE N AH
ALANNA 1.0	AA L AA N AH
ALARM 1.0	AH L AA R M
ALARMED 1.0	AH L AA R M D
ALARMING 1.0	AH L AA R M IH NG
ALARMINGLY 1.0	AH L AA R M IH NG L IY
ALARMIST 1.0	AH L AA R M AH S T
ALARMIST 1.0	AH L AA R M IH S T
ALARMS 1.0	AH L AA R M Z
ALAS 1.0	AH L AE S
ALASKA 1.0	AH L AE S K AH
ALASKA'S 1.0	AH L AE S K AH Z
ALASKAN 1.0	AH L AE S K AH N
ALASTAIR 1.0	AE L AH S T EH R
ALBA 1.0	AE L B AH
ALBANIA 1.0	AE L B EY N IY AH
ALBANIA'S 1.0	AE L B EY N IY AH Z
ALBANIAN 1.0	AE L B EY N IY AH N
ALBANIANS 1.0	AE L B EY N IY AH N Z
ALBANS 1.0	AE L B AE N Z
ALBANY 1.0	AO L B AH N IY
ALBATROSS 1.0	AE L B AH T R AA S
ALBEIT 1.0	AO L B IY IH T
ALBERT 1.0	AE L B ER T
ALBERTA 1.0	AE L B ER T AH
ALBERTO 1.0	AE L B ER T OW
ALBERTS 1.0	AE L B ER T S
ALBERTSON 1.0	AE L B ER T S AH N
ALBERTSON'S 1.0	AE L B ER T S AH N Z
ALBINO 1.0	AE L B AY N OW
ALBION 1.0	AE L B IY AH N
ALBRECHT 1.0	AO L B R EH K T
ALBRIGHT 1.0	AO L B R AY T
ALBUM 1.0	AE L B AH M
ALBUM'S 1.0	AE L B AH M Z
ALBUMIN 1.0	AE L B Y UW M AH N
ALBUMS 1.0	AE L B AH M Z
ALBUQUERQUE 1.0	AE L B AH K ER K IY
ALCATRAZ 1.0	AE L K AH T R AE Z
ALCHEMIST 1.0	AA L K AH M IH S T
ALCHEMIST 1.0	AE L CH AH M IH S T
ALCHEMY 1.0	AE L K AH M IY
ALCOHOL 1.0	AE L K AH HH AA L
ALCOHOLIC 1.0	AE L K AH HH AA L IH K
ALCOHOLICS 1.0	AE L K AH HH AA L IH K S
ALCOHOLISM 1.0	AE L K AH HH AO L IH Z AH M
ALCOTT 1.0	AE L K AA T
ALCOVE 1.0	AE L K OW V
ALDEN 1.0	AA L D AH N
ALDER 1.0	AO L D ER
ALDERMAN 1.0	AE L D ER M AH N
ALDERMAN 1.0	AO L D ER M AH N
ALDERMEN 1.0	AO L D ER M IH N
ALDERSON 1.0	AE L D ER S AH N
ALDERSON 1.0	AO L D ER S AH N
ALDIS 1.0	AA L D IH S
ALDO 1.0	AA L D OW
ALDRICH 1.0	AO L D R IH CH
ALDRIDGE 1.0	AO L D R IH JH
ALDRIN 1.0	AO L D R IH N
ALDUS 1.0	AA L D IH S
ALE 1.0	EY L
